BeginDatetime,EndDatetime,activity
2022-04-29 18:15:50.466878,2022-04-29 18:16:08.619178,eating
2022-04-29 18:16:08.619178,2022-04-29 18:16:20.752169,eeating
2022-04-29 18:16:20.752169,2022-04-29 18:16:31.931495,eating
2022-04-29 18:16:31.931495,2022-04-29 18:16:42.540095,eeating
2022-04-29 18:16:42.540095,2022-04-29 18:18:43.490355,eating
2022-04-29 18:18:43.490355,2022-04-29 18:18:52.274434,eeating
2022-04-29 18:18:52.274434,2022-04-29 18:19:08.243343,eating
2022-04-29 18:19:08.243343,2022-04-29 18:29:45.635713,new
2022-04-29 18:29:45.635713,2022-04-30 13:37:44.340681,l
2022-04-30 13:37:44.340681,2022-04-30 13:48:29.363346,eating
2022-04-30 13:48:29.363346,2022-04-30 13:49:45.115349,inactive
2022-04-30 13:49:45.115349,2022-04-30 13:49:46.115349,sleeping
