datetime,activity
2022-04-29 18:15:50.466878,eating
2022-04-29 18:15:56.634457,eating
2022-04-29 18:16:08.619178,eeating
2022-04-29 18:16:20.752169,eating
2022-04-29 18:16:31.931495,eeating
2022-04-29 18:16:42.540095,eating
2022-04-29 18:17:08.122249,eating
2022-04-29 18:17:29.468927,eating
2022-04-29 18:17:53.736694,eating
2022-04-29 18:18:19.430752,eating
2022-04-29 18:18:43.490355,eeating
2022-04-29 18:18:52.274434,eating
2022-04-29 18:19:08.243343,new
2022-04-29 18:22:18.637698,new
2022-04-29 18:29:45.635713,l
2022-04-30 13:37:44.340681,eating
2022-04-30 13:48:29.363346,inactive
2022-04-30 13:49:45.115349,sleeping
